x,cf
0.15,0.0076672116
0.2,0.00664
0.25,0.0059389965
0.3,0.0054215373
0.35,0.0050193682
0.4,0.004695189
0.45,0.0044266667
0.5,0.0041995047
0.55,0.0040040707
0.6,0.0038336058
0.65,0.0036832093
0.7,0.0035492293
0.75,0.0034288813
0.8,0.00332
0.85,0.0032208731
0.9,0.003130126
0.95,0.0030466409
1.0,0.0029694983
1.05,0.0028979336
1.1,0.0028313055
1.15,0.0027690714
1.2,0.0027107686
1.25,0.002656
1.3,0.0026044223
1.35,0.0025557372
1.4,0.0025096841
1.45,0.0024660341
1.5,0.0024245852
1.55,0.0023851584
1.6,0.0023475945
1.65,0.0023117513
1.7,0.0022775012
1.75,0.0022447297
1.8,0.0022133333
1.85,0.0021832186
