# Heathcote & Gursul (2007) chordwise-flexible plunging airfoil -- FIGURE-DIGITIZED values.
#
# Regenerate with:  python scripts/stage20_digitize_hg_figures.py --pdf <thesis.pdf>
# Source: Samuel Heathcote PhD thesis (University of Bath), 186 pages.
#   pdf_content_sha256 = 276cec6ea449dd130fe6c804afd1e07239d02da022c4a8b12b1303a69371085b
#   (NOT the raw file sha256 -- Bath's Pure repository re-wraps the PDF on every download,
#    so /CreationDate and /ID differ per fetch. See the script docstring.)
# Every row also carries the 200 dpi page_raster_sha256 it was read from, which is the
# strongest reproducibility anchor: it pins the exact pixels.
#
# EVERY VALUE HERE CARRIES DIGITIZATION UNCERTAINTY. Text-sourced (exact) values live in
# text_sourced.csv and are the R2 cross-check anchor for this file.
#
# Figures 5.6 and 5.1 plot C_T/St^2, NOT C_T. `raw_median` is as read off the axis;
# `value` = raw_median * st_squared_factor is the thrust coefficient. For Figs 5.9/5.13
# st_squared_factor is 1 and value == raw_median.
#
# THE CORRELATED / UNCORRELATED SPLIT (this is what licenses a tighter band on the
# flexible-minus-rigid increment than on either absolute value):
#   u_reading_abs -- UNCORRELATED per marker. Half-range of the independent readings.
#                    Survives the difference; RSS the two arms' terms.
#   u_axis_abs    -- CORRELATED within a figure (same axes, same frame, same calibration).
#                    CANCELS in a difference taken between two series on ONE panel.
#   Instrument systematic (5% thrust / 10% efficiency, thesis 2.2.2, in reference.md) is
#   CORRELATED within the instrument -- same gauge, same calibration for both foils -- and
#   largely cancels in the increment too. It is NOT repeated per row here.
#
# Columns:
#   figure,panel            - thesis figure and panel
#   quantity,units          - what `value` is
#   b_over_c                - plate thickness ratio (the series)
#   reynolds,strouhal       - the condition; strouhal is itself digitized (abscissa)
#   reading_1..3,n_readings - the independent readings, in axis units, BEFORE the St^2 fix
#   raw_median              - median of those readings, in axis units
#   reading_half_range      - half-range of those readings, in axis units
#   st_squared_factor       - St^2 for Fig 5.6 (the axis is C_T/St^2), else 1
#   value                   - raw_median * st_squared_factor
#   u_reading_abs,u_axis_abs- the two uncertainty terms, in the units of `value`
#   pdf_page,page_raster_sha256,dpi,tool,tool_version - provenance of the reading
figure,panel,quantity,units,b_over_c,reynolds,strouhal,reading_1,reading_2,reading_3,n_readings,raw_median,reading_half_range,st_squared_factor,value,u_reading_abs,u_axis_abs,pdf_page,page_raster_sha256,dpi,tool,tool_version
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.1266,2.0329,2.0329,,2,2.0329,0.0000,1.000000,2.03287,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.1974,5.7093,5.7093,5.7093,3,5.7093,0.0000,1.000000,5.70934,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.2663,9.9481,9.9481,9.9481,3,9.9481,0.0000,1.000000,9.94810,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.3352,12.8028,12.8028,12.8028,3,12.8028,0.0000,1.000000,12.80277,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.4060,14.7491,14.7491,14.7491,3,14.7491,0.0000,1.000000,14.74913,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.4786,16.1332,16.1332,16.1332,3,16.1332,0.0000,1.000000,16.13322,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.5531,16.9118,16.9118,16.9118,3,16.9118,0.0000,1.000000,16.91176,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.6276,17.7336,17.7336,,2,17.7336,0.0000,1.000000,17.73356,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.7076,18.2526,18.2526,18.2526,3,18.2526,0.0000,1.000000,18.25260,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
5.13,a,pitch_amplitude,deg,0.56e-3,9000,0.7896,18.8581,18.8581,18.8581,3,18.8581,0.0000,1.000000,18.85813,0.00000,0.08651,152,a2002f20e3a240d1b684384b05d71c4597df038766f28a6b05d83b601c54d4ae,200,stage20_digitize_hg_figures.py/zncc-legend-template,pymupdf==1.26.3;thresholds=120/140/160
