# Turek-Hron FSI3 reference of record (ADR-036 R3) — RECOMPUTED from the
# DVC-tracked ref_fsi3.point (sha256 c428bc3ff48c1698cd10aacf0941cba6aabdfcb9d61c8b7e42c343f381434e63) with the platform's own
# aero.postprocess estimators, so the reference and every measured solve are
# extracted like-for-like. Identified as featflow level 4 (ndof 304128), dt 0.00025 — see reference.md.
# All signals segmented at the SINGLE fundamental period from uy (ADR-036 S1).
# Means/amplitudes are the mean over full cycles of the per-cycle statistic;
# amplitude is half peak-to-peak (the paper's +/- convention).
quantity,value,units,gated
frequency,5.539872e+00,Hz,yes
uy_amplitude,3.495533e-02,m,yes
ux_amplitude,2.700146e-03,m,yes
ux_mean,-2.856809e-03,m,yes
ux_frequency,1.107420e+01,Hz,yes
uy_mean,9.664360e-04,m,no
drag_mean,4.590011e+02,N/m,no
drag_amplitude,2.769773e+01,N/m,no
lift_mean,5.149496e+00,N/m,no
lift_amplitude,1.552639e+02,N/m,no
