x,y
0.0000000000,0.0000000000
0.0001742291,0.0023381961
0.0006967948,0.0046495587
0.0015673331,0.0069334760
0.0027852373,0.0091892036
0.0043496584,0.0114158672
0.0062595064,0.0136124673
0.0085134502,0.0157778835
0.0111099189,0.0179108815
0.0140471030,0.0200101200
0.0173229557,0.0220741587
0.0209351938,0.0241014677
0.0248813000,0.0260904370
0.0291585241,0.0280393871
0.0337638853,0.0299465800
0.0386941740,0.0318102310
0.0439459543,0.0336285208
0.0495155660,0.0353996076
0.0553991277,0.0371216396
0.0615925390,0.0387927683
0.0680914835,0.0404111607
0.0748914321,0.0419750118
0.0819876458,0.0434825575
0.0893751791,0.0449320865
0.0970488835,0.0463219518
0.1050034111,0.0476505824
0.1132332183,0.0489164936
0.1217325695,0.0501182976
0.1304955414,0.0512547119
0.1395160270,0.0523245691
0.1487877397,0.0533268236
0.1583042180,0.0542605591
0.1680588296,0.0551249940
0.1780447764,0.0559194872
0.1882550991,0.0566435410
0.1986826818,0.0572968052
0.2093202575,0.0578790784
0.2201604126,0.0583903095
0.2311955925,0.0588305973
0.2424181065,0.0592001902
0.2538201336,0.0594994840
0.2653937274,0.0597290195
0.2771308221,0.0598894787
0.2890232380,0.0599816810
0.3010626870,0.0600065777
0.3132407787,0.0599652469
0.3255490259,0.0598588868
0.3379788508,0.0596888094
0.3505215909,0.0594564330
0.3631685050,0.0591632748
0.3759107791,0.0588109434
0.3887395330,0.0584011301
0.4016458262,0.0579356017
0.4146206640,0.0574161916
0.4276550040,0.0568447919
0.4407397624,0.0562233457
0.4538658203,0.0555538389
0.4670240298,0.0548382926
0.4802052208,0.0540787560
0.4934002071,0.0532772993
0.5065997929,0.0524360073
0.5197947792,0.0515569733
0.5329759702,0.0506422932
0.5461341797,0.0496940609
0.5592602376,0.0487143632
0.5723449960,0.0477052763
0.5853793360,0.0466688619
0.5983541738,0.0456071646
0.6112604670,0.0445222094
0.6240892209,0.0434159998
0.6368314950,0.0422905169
0.6494784091,0.0411477180
0.6620211492,0.0399895367
0.6744509741,0.0388178828
0.6867592213,0.0376346429
0.6989373130,0.0364416810
0.7109767620,0.0352408396
0.7228691779,0.0340339411
0.7346062726,0.0328227894
0.7461798664,0.0316091713
0.7575818935,0.0303948584
0.7688044075,0.0291816087
0.7798395874,0.0279711685
0.7906797425,0.0267652737
0.8013173182,0.0255656514
0.8117449009,0.0243740214
0.8219552236,0.0231920971
0.8319411704,0.0220215860
0.8416957820,0.0208641907
0.8512122603,0.0197216089
0.8604839730,0.0185955328
0.8695044586,0.0174876490
0.8782674305,0.0163996374
0.8867667817,0.0153331697
0.8949965889,0.0142899075
0.9029511165,0.0132715004
0.9106248209,0.0122795831
0.9180123542,0.0113157726
0.9251085679,0.0103816650
0.9319085165,0.0094788315
0.9384074610,0.0086088144
0.9446008723,0.0077731232
0.9504844340,0.0069732299
0.9560540457,0.0062105645
0.9613058260,0.0054865097
0.9662361147,0.0048023966
0.9708414759,0.0041594995
0.9751187000,0.0035590308
0.9790648062,0.0030021365
0.9826770443,0.0024898910
0.9859528970,0.0020232928
0.9888900811,0.0016032597
0.9914865498,0.0012306255
0.9937404936,0.0009061350
0.9956503416,0.0006304414
0.9972147627,0.0004041030
0.9984326669,0.0002275801
0.9993032052,0.0001012333
0.9998257709,0.0000253213
1.0000000000,0.0000000000
