x,cf
0.000000,1.7334456e-02
0.000800,2.2102261e-02
0.001606,8.4530562e-03
0.002419,7.1455785e-03
0.003238,6.4149317e-03
0.004063,5.9218700e-03
0.004895,5.6044301e-03
0.005733,5.4213074e-03
0.006578,5.3484291e-03
0.007429,5.3566955e-03
0.008287,5.4110661e-03
0.009152,5.4758899e-03
0.010023,5.5253264e-03
0.010901,5.5483915e-03
0.011786,5.5463030e-03
0.012677,5.5261762e-03
0.013576,5.4957434e-03
0.014481,5.4607922e-03
0.015394,5.4247645e-03
0.016313,5.3893276e-03
0.017239,5.3550773e-03
0.018173,5.3220564e-03
0.019114,5.2900640e-03
0.020061,5.2588289e-03
0.021016,5.2281041e-03
0.021979,5.1977071e-03
0.022949,5.1675392e-03
0.023926,5.1375753e-03
0.024910,5.1078391e-03
0.025902,5.0783888e-03
0.026901,5.0492981e-03
0.027908,5.0206385e-03
0.028923,4.9924664e-03
0.029945,4.9648299e-03
0.030975,4.9377657e-03
0.032013,4.9112970e-03
0.033058,4.8854295e-03
0.034112,4.8601623e-03
0.035173,4.8354925e-03
0.036242,4.8114117e-03
0.037319,4.7879070e-03
0.038404,4.7649569e-03
0.039497,4.7425400e-03
0.040599,4.7206385e-03
0.041708,4.6992362e-03
0.042826,4.6783159e-03
0.043952,4.6578571e-03
0.045086,4.6378369e-03
0.046229,4.6182359e-03
0.047380,4.5990362e-03
0.048539,4.5802253e-03
0.049707,4.5617903e-03
0.050884,4.5437161e-03
0.052069,4.5259860e-03
0.053263,4.5085843e-03
0.054465,4.4914950e-03
0.055676,4.4747069e-03
0.056896,4.4582109e-03
0.058125,4.4419989e-03
0.059363,4.4260607e-03
0.060610,4.4103861e-03
0.061865,4.3949652e-03
0.063130,4.3797861e-03
0.064404,4.3648379e-03
0.065687,4.3501118e-03
0.066979,4.3356032e-03
0.068280,4.3213065e-03
0.069591,4.3072156e-03
0.070911,4.2933230e-03
0.072240,4.2796228e-03
0.073579,4.2661084e-03
0.074927,4.2527742e-03
0.076284,4.2396127e-03
0.077652,4.2266143e-03
0.079029,4.2137681e-03
0.080415,4.2010620e-03
0.081811,4.1884822e-03
0.083217,4.1760155e-03
0.084633,4.1636536e-03
0.086059,4.1513937e-03
0.087494,4.1392348e-03
0.088940,4.1271774e-03
0.090395,4.1152220e-03
0.091861,4.1033681e-03
0.093336,4.0916139e-03
0.094822,4.0799589e-03
0.096318,4.0684035e-03
0.097824,4.0569482e-03
0.099340,4.0455912e-03
0.100867,4.0343311e-03
0.102404,4.0231654e-03
0.103952,4.0120920e-03
0.105510,4.0011094e-03
0.107078,3.9902162e-03
0.108657,3.9794086e-03
0.110247,3.9686854e-03
0.111847,3.9580413e-03
0.113458,3.9474750e-03
0.115079,3.9369850e-03
0.116712,3.9265710e-03
0.118355,3.9162310e-03
0.120009,3.9059639e-03
0.121674,3.8957680e-03
0.123350,3.8856415e-03
0.125037,3.8755827e-03
0.126735,3.8655892e-03
0.128443,3.8556594e-03
0.130164,3.8457909e-03
0.131895,3.8359819e-03
0.133637,3.8262298e-03
0.135391,3.8165315e-03
0.137156,3.8068860e-03
0.138932,3.7972920e-03
0.140719,3.7877490e-03
0.142518,3.7782548e-03
0.144329,3.7688082e-03
0.146151,3.7594072e-03
0.147984,3.7500507e-03
0.149829,3.7407372e-03
0.151685,3.7314650e-03
0.153554,3.7222323e-03
0.155433,3.7130378e-03
0.157325,3.7038792e-03
0.159228,3.6947539e-03
0.161143,3.6856586e-03
0.163070,3.6765914e-03
0.165008,3.6675513e-03
0.166959,3.6585375e-03
0.168921,3.6495486e-03
0.170895,3.6405837e-03
0.172881,3.6316407e-03
0.174880,3.6227179e-03
0.176890,3.6138135e-03
0.178912,3.6049259e-03
0.180946,3.5960535e-03
0.182993,3.5871936e-03
0.185051,3.5783448e-03
0.187122,3.5695047e-03
0.189205,3.5606697e-03
0.191300,3.5518371e-03
0.193408,3.5430051e-03
0.195527,3.5341727e-03
0.197659,3.5253384e-03
0.199804,3.5165001e-03
0.201960,3.5076560e-03
0.204130,3.4988034e-03
0.206311,3.4899397e-03
0.208505,3.4810624e-03
0.210711,3.4721687e-03
0.212930,3.4632562e-03
0.215161,3.4543222e-03
0.217405,3.4453636e-03
0.219661,3.4363766e-03
0.221929,3.4273565e-03
0.224211,3.4183005e-03
0.226505,3.4092066e-03
0.228811,3.4000722e-03
0.231130,3.3908940e-03
0.233461,3.3816681e-03
0.235805,3.3723905e-03
0.238162,3.3630570e-03
0.240532,3.3536637e-03
0.242914,3.3442059e-03
0.245308,3.3346782e-03
0.247716,3.3250754e-03
0.250136,3.3153903e-03
0.252568,3.3056166e-03
0.255014,3.2957485e-03
0.257472,3.2857810e-03
0.259942,3.2757076e-03
0.262425,3.2655215e-03
0.264921,3.2552145e-03
0.267430,3.2447781e-03
0.269952,3.2342027e-03
0.272486,3.2234781e-03
0.275032,3.2125919e-03
0.277592,3.2015303e-03
0.280164,3.1902802e-03
0.282748,3.1788282e-03
0.285346,3.1671594e-03
0.287956,3.1552562e-03
0.290578,3.1430973e-03
0.293213,3.1306569e-03
0.295861,3.1179038e-03
0.298522,3.1047999e-03
0.301195,3.0913018e-03
0.303880,3.0773759e-03
0.306578,3.0630135e-03
0.309289,3.0482216e-03
0.312012,3.0330098e-03
0.314748,3.0173892e-03
0.317496,3.0013728e-03
0.320257,2.9849776e-03
0.323030,2.9682245e-03
0.325815,2.9511356e-03
0.328613,2.9337318e-03
0.331423,2.9160401e-03
0.334246,2.8981133e-03
0.337081,2.8799821e-03
0.339928,2.8616465e-03
0.342787,2.8431434e-03
0.345658,2.8245053e-03
0.348542,2.8058125e-03
0.351438,2.7871614e-03
0.354346,2.7685149e-03
0.357266,2.7498428e-03
0.360198,2.7312813e-03
0.363142,2.7129899e-03
0.366098,2.6949036e-03
0.369065,2.6769217e-03
0.372045,2.6593364e-03
0.375036,2.6422685e-03
0.378040,2.6253951e-03
0.381054,2.6090406e-03
0.384081,2.5933830e-03
0.387119,2.5780937e-03
0.390168,2.5635525e-03
0.393229,2.5496362e-03
0.396301,2.5364216e-03
0.399384,2.5242111e-03
0.402479,2.5126622e-03
0.405584,2.5020412e-03
0.408701,2.4923785e-03
0.411828,2.4836804e-03
0.414967,2.4760631e-03
0.418116,2.4694849e-03
0.421275,2.4640867e-03
0.424445,2.4598017e-03
0.427626,2.4567880e-03
0.430817,2.4549621e-03
0.434017,2.4544587e-03
0.437228,2.4553300e-03
0.440449,2.4574406e-03
0.443679,2.4611861e-03
0.446919,2.4661054e-03
0.450169,2.4725234e-03
0.453428,2.4805609e-03
0.456695,2.4898450e-03
0.459972,2.5010209e-03
0.463258,2.5135097e-03
0.466552,2.5274232e-03
0.469854,2.5434652e-03
0.473165,2.5607524e-03
0.476484,2.5794900e-03
0.479811,2.6003916e-03
0.483146,2.6227972e-03
0.486488,2.6464998e-03
0.489838,2.6722336e-03
0.493194,2.6999649e-03
0.496558,2.7289833e-03
0.499929,2.7595805e-03
0.503307,2.7923384e-03
0.506691,2.8269168e-03
0.510081,2.8629068e-03
0.513478,2.9004593e-03
0.516881,2.9400846e-03
0.520290,2.9817610e-03
0.523704,3.0248614e-03
0.527125,3.0694858e-03
0.530551,3.1158694e-03
0.533982,3.1642125e-03
0.537419,3.2145132e-03
0.540861,3.2662519e-03
0.544309,3.3195079e-03
0.547762,3.3744730e-03
0.551220,3.4310697e-03
0.554682,3.4894601e-03
0.558150,3.5495758e-03
0.561624,3.6110696e-03
0.565102,3.6739788e-03
0.568585,3.7383900e-03
0.572073,3.8042264e-03
0.575566,3.8714428e-03
0.579064,3.9399951e-03
0.582568,4.0098471e-03
0.586077,4.0808660e-03
0.589591,4.1529038e-03
0.593110,4.2259162e-03
0.596635,4.2998423e-03
0.600165,4.3745679e-03
0.603701,4.4499803e-03
0.607242,4.5259646e-03
0.610789,4.6023941e-03
0.614342,4.6791402e-03
0.617901,4.7560558e-03
0.621466,4.8329881e-03
0.625037,4.9097850e-03
0.628614,4.9862727e-03
0.632197,5.0622714e-03
0.635787,5.1375940e-03
0.639384,5.2120369e-03
0.642987,5.2853930e-03
0.646596,5.3574420e-03
0.650212,5.4279510e-03
0.653835,5.4966835e-03
0.657464,5.5633956e-03
0.661100,5.6278226e-03
0.664742,5.6897006e-03
0.668392,5.7487735e-03
0.672047,5.8047767e-03
0.675709,5.8574262e-03
0.679378,5.9064529e-03
0.683053,5.9516164e-03
0.686734,5.9926733e-03
0.690421,6.0293628e-03
0.694114,6.0614236e-03
0.697812,6.0880552e-03
0.701515,6.1090132e-03
0.705224,6.1249719e-03
0.708938,6.1356281e-03
0.712656,6.1404924e-03
0.716378,6.1395094e-03
0.720104,6.1325617e-03
0.723833,6.1191730e-03
0.727565,6.0987324e-03
0.731300,6.0718874e-03
0.735038,6.0393792e-03
0.738777,6.0008797e-03
0.742517,5.9561958e-03
0.746258,5.9055868e-03
0.750000,5.8482303e-03
0.753742,5.7841581e-03
0.757483,5.7152780e-03
0.761223,5.6416229e-03
0.764962,5.5625830e-03
0.768700,5.4784291e-03
0.772435,5.3889067e-03
0.776167,5.2938722e-03
0.779896,5.1943893e-03
0.783622,5.0914958e-03
0.787344,4.9852063e-03
0.791062,4.8757088e-03
0.794776,4.7634291e-03
0.798485,4.6488084e-03
0.802188,4.5318720e-03
0.805886,4.4128662e-03
0.809579,4.2928779e-03
0.813266,4.1721873e-03
0.816947,4.0506660e-03
0.820622,3.9287317e-03
0.824291,3.8069829e-03
0.827953,3.6860236e-03
0.831608,3.5662735e-03
0.835258,3.4480349e-03
0.838900,3.3315660e-03
0.842536,3.2171134e-03
0.846165,3.1049042e-03
0.849788,2.9951511e-03
0.853404,2.8880537e-03
0.857013,2.7837849e-03
0.860616,2.6824982e-03
0.864213,2.5843352e-03
0.867803,2.4894176e-03
