x,cp
0.000000,6.3419998e-02
0.000800,3.5048001e-02
0.001606,2.3759000e-02
0.002419,2.5955999e-02
0.003238,2.5359999e-02
0.004063,2.5780000e-02
0.004895,2.6140001e-02
0.005733,2.6826000e-02
0.006578,2.7756000e-02
0.007429,2.8829001e-02
0.008287,2.9805999e-02
0.009152,3.0517999e-02
0.010023,3.0939000e-02
0.010901,3.1126000e-02
0.011786,3.1171000e-02
0.012677,3.1146999e-02
0.013576,3.1099999e-02
0.014481,3.1058000e-02
0.015394,3.1028001e-02
0.016313,3.1010000e-02
0.017239,3.1006999e-02
0.018173,3.1010000e-02
0.019114,3.1021999e-02
0.020061,3.1034000e-02
0.021016,3.1049000e-02
0.021979,3.1064000e-02
0.022949,3.1082001e-02
0.023926,3.1099999e-02
0.024910,3.1114001e-02
0.025902,3.1135000e-02
0.026901,3.1156000e-02
0.027908,3.1180000e-02
0.028923,3.1204000e-02
0.029945,3.1234000e-02
0.030975,3.1263001e-02
0.032013,3.1296000e-02
0.033058,3.1332001e-02
0.034112,3.1371001e-02
0.035173,3.1412002e-02
0.036242,3.1454001e-02
0.037319,3.1502001e-02
0.038404,3.1550001e-02
0.039497,3.1599998e-02
0.040599,3.1654000e-02
0.041708,3.1711001e-02
0.042826,3.1767000e-02
0.043952,3.1826999e-02
0.045086,3.1888999e-02
0.046229,3.1952001e-02
0.047380,3.2017000e-02
0.048539,3.2086000e-02
0.049707,3.2157999e-02
0.050884,3.2228999e-02
0.052069,3.2304000e-02
0.053263,3.2377999e-02
0.054465,3.2455999e-02
0.055676,3.2536000e-02
0.056896,3.2618999e-02
0.058125,3.2703001e-02
0.059363,3.2788999e-02
0.060610,3.2876000e-02
0.061865,3.2968000e-02
0.063130,3.3061001e-02
0.064404,3.3153001e-02
0.065687,3.3250999e-02
0.066979,3.3349998e-02
0.068280,3.3448000e-02
0.069591,3.3551998e-02
0.070911,3.3656999e-02
0.072240,3.3764001e-02
0.073579,3.3870999e-02
0.074927,3.3984002e-02
0.076284,3.4097999e-02
0.077652,3.4214001e-02
0.079029,3.4329999e-02
0.080415,3.4451999e-02
0.081811,3.4575000e-02
0.083217,3.4699999e-02
0.084633,3.4825001e-02
0.086059,3.4956001e-02
0.087494,3.5087001e-02
0.088940,3.5220999e-02
0.090395,3.5358001e-02
0.091861,3.5495002e-02
0.093336,3.5638001e-02
0.094822,3.5783999e-02
0.096318,3.5930999e-02
0.097824,3.6079999e-02
0.099340,3.6235001e-02
0.100870,3.6389001e-02
0.102400,3.6547001e-02
0.103950,3.6708001e-02
0.105510,3.6872000e-02
0.107080,3.7041999e-02
0.108660,3.7211999e-02
0.110250,3.7385002e-02
0.111850,3.7563998e-02
0.113460,3.7742998e-02
0.115080,3.7927002e-02
0.116710,3.8112000e-02
0.118350,3.8302999e-02
0.120010,3.8497001e-02
0.121670,3.8695998e-02
0.123350,3.8895998e-02
0.125040,3.9101001e-02
0.126730,3.9310001e-02
0.128440,3.9522000e-02
0.130160,3.9739002e-02
0.131890,3.9960001e-02
0.133640,4.0185999e-02
0.135390,4.0413000e-02
0.137160,4.0647998e-02
0.138930,4.0886998e-02
0.140720,4.1127998e-02
0.142520,4.1375000e-02
0.144330,4.1625999e-02
0.146150,4.1882001e-02
0.147980,4.2144001e-02
0.149830,4.2410001e-02
0.151690,4.2681001e-02
0.153550,4.2957999e-02
0.155430,4.3237999e-02
0.157320,4.3527000e-02
0.159230,4.3818999e-02
0.161140,4.4117000e-02
0.163070,4.4420999e-02
0.165010,4.4734001e-02
0.166960,4.5049999e-02
0.168920,4.5372002e-02
0.170900,4.5703001e-02
0.172880,4.6039000e-02
0.174880,4.6381999e-02
0.176890,4.6734001e-02
0.178910,4.7088999e-02
0.180950,4.7455002e-02
0.182990,4.7828000e-02
0.185050,4.8206002e-02
0.187120,4.8594002e-02
0.189210,4.8990000e-02
0.191300,4.9394999e-02
0.193410,4.9809001e-02
0.195530,5.0230000e-02
0.197660,5.0662000e-02
