x,cf
0.010091,5.3739003e-03
0.011111,5.3664073e-03
0.012134,5.3369473e-03
0.013159,5.2983449e-03
0.014186,5.2557359e-03
0.015216,5.2111303e-03
0.016247,5.1656454e-03
0.017281,5.1201549e-03
0.018317,5.0753448e-03
0.019356,5.0317207e-03
0.020397,4.9896166e-03
0.021440,4.9492009e-03
0.022485,4.9105091e-03
0.023533,4.8735049e-03
0.024584,4.8381267e-03
0.025637,4.8043053e-03
0.026692,4.7719558e-03
0.027750,4.7409819e-03
0.028810,4.7112834e-03
0.029873,4.6827644e-03
0.030938,4.6553463e-03
0.032007,4.6289642e-03
0.033077,4.6035568e-03
0.034150,4.5790635e-03
0.035226,4.5554256e-03
0.036305,4.5325886e-03
0.037386,4.5105000e-03
0.038470,4.4891099e-03
0.039557,4.4683754e-03
0.040647,4.4482630e-03
0.041739,4.4287429e-03
0.042834,4.4097868e-03
0.043933,4.3913657e-03
0.045034,4.3734531e-03
0.046138,4.3560220e-03
0.047244,4.3390477e-03
0.048354,4.3225004e-03
0.049467,4.3063425e-03
0.050583,4.2905346e-03
0.051702,4.2750426e-03
0.052824,4.2598420e-03
0.053949,4.2449255e-03
0.055077,4.2302897e-03
0.056208,4.2159315e-03
0.057343,4.2018467e-03
0.058481,4.1880296e-03
0.059622,4.1744737e-03
0.060766,4.1611721e-03
0.061913,4.1481173e-03
0.063064,4.1353023e-03
0.064219,4.1227192e-03
0.065376,4.1103605e-03
0.066537,4.0982189e-03
0.067702,4.0862872e-03
0.068870,4.0745591e-03
0.070042,4.0630260e-03
0.071217,4.0516788e-03
0.072395,4.0405118e-03
0.073578,4.0295213e-03
0.074764,4.0187039e-03
0.075953,4.0080566e-03
0.077147,3.9975741e-03
0.078344,3.9872522e-03
0.079545,3.9770864e-03
0.080749,3.9670719e-03
0.081958,3.9572036e-03
0.083170,3.9474773e-03
0.084387,3.9378884e-03
0.085607,3.9284336e-03
0.086831,3.9191092e-03
0.088060,3.9099120e-03
0.089292,3.9008388e-03
0.090528,3.8918864e-03
0.091769,3.8830524e-03
0.093014,3.8743331e-03
0.094263,3.8657254e-03
0.095516,3.8572263e-03
0.096774,3.8488321e-03
0.098036,3.8405391e-03
0.099302,3.8323423e-03
0.100573,3.8242410e-03
0.101848,3.8162344e-03
0.103127,3.8083207e-03
0.104411,3.8004983e-03
0.105700,3.7927651e-03
0.106993,3.7851185e-03
0.108291,3.7775571e-03
0.109594,3.7700778e-03
0.110901,3.7626789e-03
0.112214,3.7553592e-03
0.113531,3.7481161e-03
0.114853,3.7409486e-03
0.116179,3.7338557e-03
0.117511,3.7268344e-03
0.118848,3.7198842e-03
0.120190,3.7130038e-03
0.121537,3.7061905e-03
0.122889,3.6994435e-03
0.124246,3.6927618e-03
0.125609,3.6861431e-03
0.126977,3.6795863e-03
0.128350,3.6730911e-03
0.129728,3.6666549e-03
0.131112,3.6602768e-03
0.132502,3.6539563e-03
0.133897,3.6476918e-03
0.135298,3.6414817e-03
0.136704,3.6353255e-03
0.138116,3.6292211e-03
0.139534,3.6231652e-03
0.140958,3.6171570e-03
0.142387,3.6111977e-03
0.143822,3.6052864e-03
0.145264,3.5994221e-03
0.146711,3.5936050e-03
0.148165,3.5878341e-03
0.149625,3.5821074e-03
0.151090,3.5764251e-03
0.152563,3.5707867e-03
0.154041,3.5651906e-03
0.155526,3.5596357e-03
0.157017,3.5541223e-03
0.158515,3.5486494e-03
0.160020,3.5432153e-03
0.161531,3.5378202e-03
0.163049,3.5324635e-03
0.164573,3.5271442e-03
0.166105,3.5218608e-03
0.167643,3.5166135e-03
0.169188,3.5114025e-03
0.170741,3.5062260e-03
0.172300,3.5010830e-03
0.173867,3.4959738e-03
0.175441,3.4908981e-03
0.177022,3.4858542e-03
0.178611,3.4808421e-03
0.180207,3.4758614e-03
0.181810,3.4709119e-03
0.183422,3.4659919e-03
0.185041,3.4611013e-03
0.186667,3.4562405e-03
0.188302,3.4514086e-03
0.189945,3.4466041e-03
0.191595,3.4418274e-03
0.193254,3.4370783e-03
0.194921,3.4323561e-03
0.196596,3.4276599e-03
0.198279,3.4229888e-03
0.199971,3.4183424e-03
0.201671,3.4137194e-03
0.203380,3.4091186e-03
0.205098,3.4045412e-03
0.206825,3.3999877e-03
0.208560,3.3954578e-03
0.210304,3.3909504e-03
0.212058,3.3864654e-03
0.213820,3.3820029e-03
0.215592,3.3775629e-03
0.217373,3.3731440e-03
0.219163,3.3687458e-03
0.220964,3.3643686e-03
0.222773,3.3600123e-03
0.224593,3.3556761e-03
0.226422,3.3513592e-03
0.228261,3.3470618e-03
0.230111,3.3427840e-03
0.231970,3.3385253e-03
0.233840,3.3342843e-03
0.235720,3.3300617e-03
0.237611,3.3258572e-03
0.239512,3.3216707e-03
0.241424,3.3175012e-03
0.243347,3.3133482e-03
0.245281,3.3092124e-03
0.247226,3.3050934e-03
0.249182,3.3009904e-03
0.251149,3.2969029e-03
0.253128,3.2928311e-03
0.255119,3.2887754e-03
0.257121,3.2847347e-03
0.259135,3.2807083e-03
0.261161,3.2766967e-03
0.263199,3.2726997e-03
0.265250,3.2687171e-03
0.267312,3.2647480e-03
0.269388,3.2607922e-03
0.271476,3.2568502e-03
0.273577,3.2529216e-03
0.275690,3.2490059e-03
0.277817,3.2451025e-03
0.279957,3.2412116e-03
0.282111,3.2373334e-03
0.284278,3.2334675e-03
0.286459,3.2296129e-03
0.288654,3.2257698e-03
0.290862,3.2219384e-03
0.293085,3.2181176e-03
0.295323,3.2143062e-03
0.297575,3.2105034e-03
0.299841,3.2067106e-03
0.302123,3.2029285e-03
0.304420,3.1991566e-03
0.306731,3.1953943e-03
0.309059,3.1916418e-03
0.311402,3.1878992e-03
0.313761,3.1841663e-03
0.316136,3.1804424e-03
0.318527,3.1767273e-03
0.320934,3.1730207e-03
0.323358,3.1693231e-03
0.325799,3.1656339e-03
0.328257,3.1619528e-03
0.330732,3.1582797e-03
0.333225,3.1546147e-03
0.335735,3.1509579e-03
0.338263,3.1473087e-03
0.340810,3.1436665e-03
0.343374,3.1400318e-03
0.345958,3.1364043e-03
0.348560,3.1327843e-03
0.351181,3.1291705e-03
0.353821,3.1255633e-03
0.356482,3.1219625e-03
0.359161,3.1183686e-03
0.361861,3.1147809e-03
0.364582,3.1111988e-03
0.367323,3.1076223e-03
0.370084,3.1040518e-03
0.372867,3.1004872e-03
0.375672,3.0969277e-03
0.378498,3.0933728e-03
0.381346,3.0898233e-03
0.384217,3.0862791e-03
0.387110,3.0827397e-03
0.390026,3.0792046e-03
0.392965,3.0756737e-03
0.395928,3.0721473e-03
0.398914,3.0686255e-03
0.401925,3.0651074e-03
0.404961,3.0615928e-03
0.408021,3.0580820e-03
0.411107,3.0545751e-03
0.414218,3.0510717e-03
0.417355,3.0475711e-03
0.420519,3.0440735e-03
0.423709,3.0405791e-03
0.426926,3.0370879e-03
0.430171,3.0335991e-03
0.433443,3.0301127e-03
0.436744,3.0266279e-03
0.440074,3.0231446e-03
0.443433,3.0196616e-03
0.446821,3.0161797e-03
0.450239,3.0126991e-03
0.453688,3.0092206e-03
0.457168,3.0057437e-03
0.460678,3.0022683e-03
0.464221,2.9987935e-03
0.467796,2.9953199e-03
0.471404,2.9918477e-03
0.475045,2.9883764e-03
0.478720,2.9849054e-03
0.482430,2.9814346e-03
0.486174,2.9779647e-03
0.489953,2.9744951e-03
0.493769,2.9710254e-03
0.497621,2.9675553e-03
0.501510,2.9640852e-03
0.505437,2.9606151e-03
0.509402,2.9571443e-03
0.513407,2.9536725e-03
0.517450,2.9502001e-03
0.521534,2.9467270e-03
0.525659,2.9432527e-03
0.529825,2.9397770e-03
0.534034,2.9362997e-03
0.538286,2.9328209e-03
0.542581,2.9293410e-03
0.546920,2.9258588e-03
0.551305,2.9223743e-03
0.555736,2.9188877e-03
0.560213,2.9153994e-03
0.564738,2.9119081e-03
0.569311,2.9084140e-03
0.573933,2.9049173e-03
0.578605,2.9014179e-03
0.583328,2.8979154e-03
0.588103,2.8944092e-03
0.592931,2.8908995e-03
0.597812,2.8873868e-03
0.602748,2.8838702e-03
0.607740,2.8803491e-03
0.612788,2.8768233e-03
0.617894,2.8732934e-03
0.623058,2.8697590e-03
0.628283,2.8662195e-03
0.633568,2.8626753e-03
0.638915,2.8591265e-03
0.644326,2.8555726e-03
0.649801,2.8520131e-03
0.655342,2.8484482e-03
0.660949,2.8448775e-03
0.666625,2.8412996e-03
0.672371,2.8377138e-03
0.678187,2.8341210e-03
0.684076,2.8305214e-03
0.690039,2.8269156e-03
0.696077,2.8233028e-03
0.702192,2.8196827e-03
0.708385,2.8160559e-03
0.714658,2.8124216e-03
0.721012,2.8087797e-03
0.727450,2.8051299e-03
0.733973,2.8014723e-03
0.740583,2.7978066e-03
0.747281,2.7941321e-03
0.754070,2.7904490e-03
0.760951,2.7867574e-03
0.767927,2.7830563e-03
0.774999,2.7793460e-03
0.782170,2.7756263e-03
0.789441,2.7718968e-03
0.796816,2.7681571e-03
0.804296,2.7644071e-03
0.811884,2.7606469e-03
0.819581,2.7568757e-03
0.827392,2.7530934e-03
0.835318,2.7492999e-03
0.843362,2.7454952e-03
0.851526,2.7416784e-03
0.859814,2.7378495e-03
0.868229,2.7340085e-03
0.876773,2.7301547e-03
0.885450,2.7262878e-03
0.894263,2.7224079e-03
0.903215,2.7185148e-03
0.912310,2.7146076e-03
0.921551,2.7106863e-03
0.930942,2.7067505e-03
0.940487,2.7027999e-03
0.950189,2.6988336e-03
0.960054,2.6948513e-03
0.970084,2.6908536e-03
0.980285,2.6868428e-03
0.990660,2.6828286e-03
