# NASA TMR / Schmitt-Charpin ONERA M6 experimental Cp
# Source: TMBWG/turbmodels Onerawingnumerics_val/case_2308.dat
# Section 5, eta = 0.9; Mach 0.8395, AoA 3.06 deg, Re 11.72e6
x_over_c,cp
0.000570,0.725730
0.001840,-0.182490
0.005870,0.561690
0.006260,-0.181040
0.012280,-0.575530
0.020060,-0.985450
0.020300,-0.018414
0.029880,-1.187400
0.040300,-0.078712
0.049660,-1.194000
0.065500,-0.078389
0.074480,-1.139800
0.099940,-1.092700
0.100290,-0.121190
0.139860,-1.048400
0.150540,-0.181590
0.179790,-1.002300
0.220010,-0.998540
0.250120,-0.277390
0.259640,-0.980850
0.299880,-0.340670
0.339850,-0.195000
0.350160,-0.287520
0.379860,-0.179790
0.419590,-0.207890
0.449900,-0.268290
0.459750,-0.237800
0.499600,-0.220400
0.539590,-0.199660
0.549830,-0.269670
0.579610,-0.162420
0.619870,-0.138460
0.649880,-0.129620
0.659680,-0.106690
0.699700,-0.084597
0.739400,-0.056618
0.750030,-0.061507
0.779600,-0.021115
0.819370,0.020594
0.849540,0.030016
0.859550,0.058670
0.899400,0.099093
0.947270,0.156500
0.949770,0.149900
0.985060,0.211420
